channel,video_link,views,likes,dislikes
jeffreestar,https://www.youtube.com/watch?v=yLBHooqolaw,7642481,106327,24680
jeffreestar,https://www.youtube.com/watch?v=FB2UE_SWIXY,1962648,245208,15902
jeffreestar,https://www.youtube.com/watch?v=pSoaHF0s1Rs,8709746,0,0
jeffreestar,https://www.youtube.com/watch?v=Jp8N14rinb4,9230364,240820,17737
jeffreestar,https://www.youtube.com/watch?v=uemxx7D0gbA,6961824,243367,10697
jeffreestar,https://www.youtube.com/watch?v=priJfsZIIRY,9718265,168410,8619
jeffreestar,https://www.youtube.com/watch?v=Vumz43-3pXo,1962648,162595,11178
jeffreestar,https://www.youtube.com/watch?v=4LwpGaDKmZ8,2922681,236106,22305
jeffreestar,https://www.youtube.com/watch?v=2bhiiFwUdU8,1962648,371333,7812
jeffreestar,https://www.youtube.com/watch?v=jcw3drrDf18,4098742,186420,7965
Jaclynhill1,https://www.youtube.com/watch?v=Y4fur_12EEc,3895260,181598,4820
Jaclynhill1,https://www.youtube.com/watch?v=GEhOZooB3bw,7490082,273943,57169
Jaclynhill1,https://www.youtube.com/watch?v=XvH2ukztRzs,2741198,172149,3000
Jaclynhill1,https://www.youtube.com/watch?v=tBLhnw6y39I,5152435,102540,2020
Jaclynhill1,https://www.youtube.com/watch?v=1W-93hFSl3U,2741198,33472,1408
Jaclynhill1,https://www.youtube.com/watch?v=f0954Tx4HeQ,1598030,161640,1981
Jaclynhill1,https://www.youtube.com/watch?v=0eGDfNPS3sg,2701571,198352,1819
Jaclynhill1,https://www.youtube.com/watch?v=4LZXQQNUATw,6265777,152268,3274
Jaclynhill1,https://www.youtube.com/watch?v=QKz_2ScmjUs,2329826,55050,867
Jaclynhill1,https://www.youtube.com/watch?v=Khwwml8xY_M,3143401,102506,1098
macbby11,https://www.youtube.com/watch?v=xRq5Qr6J9QQ,7489304,408691,15325
macbby11,https://www.youtube.com/watch?v=ACt1S9dYH6c,4488944,273840,7456
macbby11,https://www.youtube.com/watch?v=KuD__QtnIQA,10586309,316390,6044
macbby11,https://www.youtube.com/watch?v=I9kzPkhXzd0,3987389,260592,10681
macbby11,https://www.youtube.com/watch?v=Ptpr79-aHSY,8723118,318046,3725
macbby11,https://www.youtube.com/watch?v=cnSXGuzyFhw,5314663,272294,4894
macbby11,https://www.youtube.com/watch?v=c8p2_JunLYw,5524509,296063,3595
macbby11,https://www.youtube.com/watch?v=RZt6UqXnQgU,8132722,418310,10540
macbby11,https://www.youtube.com/watch?v=qTSaPGG383s,6637473,282931,4339
macbby11,https://www.youtube.com/watch?v=UUo37g_UQss,8132722,210650,6433
nikkietutorials,https://www.youtube.com/watch?v=a4Ov8qvZ2_w,5179582,777423,8281
nikkietutorials,https://www.youtube.com/watch?v=6aeE5LXujC4,11910169,671942,14597
nikkietutorials,https://www.youtube.com/watch?v=IxxI1X9CSEk,6738624,339229,9582
nikkietutorials,https://www.youtube.com/watch?v=EcqKjNJdkS0,1691644,330338,6480
nikkietutorials,https://www.youtube.com/watch?v=8lPg4Ur4LmM,10652307,332733,3930
nikkietutorials,https://www.youtube.com/watch?v=SOoauHBpcbU,6210017,486263,5302
nikkietutorials,https://www.youtube.com/watch?v=9Uv1RnuyCfY,4585404,216648,7434
nikkietutorials,https://www.youtube.com/watch?v=1lacilKXHRs,1534192,343891,2376
nikkietutorials,https://www.youtube.com/watch?v=sjT7asVL7JI,6709485,273540,11469
nikkietutorials,https://www.youtube.com/watch?v=s8mmyuBg3iY,5193655,193881,2750
laura88lee,https://www.youtube.com/watch?v=xVi_a7aAac4,9067587,241788,13086
laura88lee,https://www.youtube.com/watch?v=KRmmtEJGzrE,814488,138894,12377
laura88lee,https://www.youtube.com/watch?v=mrSg7hmR0nE,3156052,85564,7703
laura88lee,https://www.youtube.com/watch?v=q3bdY9hPVYo,12952121,79509,7994
laura88lee,https://www.youtube.com/watch?v=hLp7_8y2p4Y,22132736,42401,5434
laura88lee,https://www.youtube.com/watch?v=mWsiAVhq-wQ,3518229,184807,6118
laura88lee,https://www.youtube.com/watch?v=yrACHUPif74,25296860,75252,4499
laura88lee,https://www.youtube.com/watch?v=kEKZZBReUgw,4794865,48876,2283
laura88lee,https://www.youtube.com/watch?v=hYAyLM0IhO8,2792393,68544,9347
laura88lee,https://www.youtube.com/watch?v=KnONBC1X1tA,1667864,77782,1896
pixiwoo,https://www.youtube.com/watch?v=Sc9_RS3Fjyw,13717954,52586,7786
pixiwoo,https://www.youtube.com/watch?v=E7cE39_R9mo,707006,27915,1617
pixiwoo,https://www.youtube.com/watch?v=atqhXUOoyHY,837780,29009,1363
pixiwoo,https://www.youtube.com/watch?v=pxox_MFpy7c,995209,32688,555
pixiwoo,https://www.youtube.com/watch?v=iCiGjZEV7VI,2929152,14102,287
pixiwoo,https://www.youtube.com/watch?v=WpP-G1KTlxw,210318,6975,134
pixiwoo,https://www.youtube.com/watch?v=fq61rFEj3qQ,494416,16845,693
pixiwoo,https://www.youtube.com/watch?v=k63Hhf4zJpM,256455,13897,310
pixiwoo,https://www.youtube.com/watch?v=xktMzhBnyd0,2449149,10059,371
pixiwoo,https://www.youtube.com/watch?v=2FQReUmJRwg,96086,32900,1009
kandeejohnson,https://www.youtube.com/watch?v=S4cBipeLMiw,2908407,100238,12046
kandeejohnson,https://www.youtube.com/watch?v=H_IfRNp0ncU,587575,255493,18919
kandeejohnson,https://www.youtube.com/watch?v=9vkCR2ZWAe4,7144586,44051,2605
kandeejohnson,https://www.youtube.com/watch?v=GDcQJ32zmvg,575105,87408,3124
kandeejohnson,https://www.youtube.com/watch?v=QtnWmqRaEKw,708241,8362,3154
kandeejohnson,https://www.youtube.com/watch?v=5uSG7KT9zlE,1101503,98324,2009
